Age,Gender,Occupation,Monthly Income,low-carb,low-fat,high-protein,non-veg,veg,vegan,gluten-free,Lactose Intolerance,soy-allergy,wheat-allergy,fish-allergy,meal-preff,cuisine-preff
20,Female,Student,0,1,1,0,0,0,1,0,0,0,0,1,Lunch,Indian
24,Female,Student,<10000,1,1,1,0,1,0,0,0,1,0,0,Lunch,Indian
22,Male,Student,<10000,0,0,0,0,0,1,0,1,0,0,0,Breakfast,Indian
22,Female,Student,0,0,1,0,1,0,0,0,0,0,0,0,Dinner,Chinese
22,Male,Student,<10000,1,0,1,0,0,0,1,1,0,0,1,Dinner,Chinese
27,Female,Employee,>50000,0,0,1,0,1,0,0,0,0,0,0,Dinner,Indian
22,Male,Student,0,1,1,0,0,1,0,0,0,0,1,0,Breakfast,Mediterranean
24,Female,Student,0,1,0,1,0,1,0,0,0,0,0,1,Dinner,Chinese
23,Female,Student,0,0,1,0,0,0,1,0,0,1,0,0,Dinner,Japanese
23,Female,Student,0,0,1,0,0,0,1,0,0,1,0,1,Lunch,Mediterranean
22,Female,Student,0,1,1,1,0,1,0,0,0,1,1,0,Dinner,Chinese
23,Male,Student,<10000,0,1,0,0,1,0,0,0,0,0,0,Lunch,Mediterranean
23,Male,Student,0,1,1,0,1,0,0,0,1,0,0,1,Dinner,Mexican
21,Male,Student,0,0,0,0,0,1,0,0,1,1,0,0,Lunch,Mexican
23,Female,Self Employeed,<25000,1,1,1,0,1,0,0,1,0,0,0,Breakfast,Japanese
24,Female,Student,0,0,0,0,0,0,1,0,0,1,0,0,Lunch,Thai
28,Female,Employee,<50000,0,0,1,0,0,1,0,0,0,0,0,Breakfast,Mediterranean
23,Female,Student,0,0,1,0,0,1,0,0,0,0,0,0,Breakfast,Indian
25,Male,Student,0,1,1,1,0,0,1,0,0,0,1,0,Lunch,Mexican
21,Female,Student,<10000,1,0,1,0,0,0,1,0,0,0,0,Dinner,Italian
24,Male,Student,0,1,0,0,1,0,0,0,0,0,0,0,Breakfast,Italian
22,Male,Student,0,0,1,0,1,0,0,0,0,0,0,1,Lunch,Italian
22,Female,Student,0,1,0,1,0,0,0,1,0,0,0,0,Lunch,Mediterranean
23,Male,Student,0,1,1,1,0,0,0,1,0,1,1,0,Breakfast,Chinese
21,Male,Student,<10000,0,1,1,0,0,0,1,0,0,0,1,Lunch,Japanese
25,Male,Student,0,1,0,1,0,0,1,0,0,0,1,0,Breakfast,Mexican
22,Female,Student,0,0,0,0,0,0,0,1,0,0,0,0,Dinner,Mexican
22,Male,Student,0,1,0,0,0,1,0,0,0,0,0,1,Lunch,Mexican
23,Female,Employee,<25000,0,1,1,0,0,1,0,0,1,0,0,Breakfast,Thai
22,Male,Student,<10000,1,0,1,0,0,1,0,1,1,0,0,Lunch,Japanese
22,Female,Employee,<25000,0,1,0,0,1,0,0,0,0,0,0,Lunch,Japanese
22,Male,Student,0,0,1,0,1,0,0,0,0,1,0,0,Lunch,Italian
25,Male,Employee,>50000,1,0,0,0,0,1,0,0,1,1,0,Dinner,Italian
22,Female,Student,<25000,0,0,0,0,0,1,0,0,0,1,0,Dinner,Mexican
22,Female,Student,0,0,1,0,0,0,0,1,0,0,0,1,Breakfast,Mediterranean
25,Male,Student,<25000,1,1,0,1,0,0,0,0,1,0,1,Breakfast,Italian
25,Male,Student,0,0,0,1,0,0,0,1,0,0,1,1,Breakfast,Thai
32,Female,House wife,0,0,1,1,0,0,0,1,1,1,0,0,Dinner,Mediterranean
23,Female,Student,0,1,0,0,0,0,0,1,0,1,1,0,Breakfast,Mediterranean
23,Female,Student,0,1,0,1,0,0,1,0,0,0,1,1,Breakfast,Chinese
30,Male,Self Employeed,>50000,0,1,0,0,1,0,0,0,0,0,0,Breakfast,Chinese
23,Male,Student,0,0,1,0,0,0,1,0,0,0,1,1,Breakfast,Italian
23,Male,Student,0,1,0,0,0,0,0,1,0,0,0,0,Dinner,Mexican
22,Female,Student,0,0,1,1,1,0,0,0,0,0,1,0,Dinner,Italian
22,Male,Student,0,0,1,1,0,0,1,0,1,1,0,0,Lunch,Mexican
27,Female,Self Employeed,<25000,1,1,1,0,1,0,0,0,1,0,0,Lunch,Chinese
24,Female,Student,0,0,0,1,0,1,0,0,0,1,1,0,Lunch,Mexican
23,Male,Student,0,0,0,1,1,0,0,0,1,0,0,0,Dinner,Italian
